Code matériel ;N° de série ;Catégorie ;Modèle ;Marque ;Statut ;Fin de garantie ;Localisation (dernier niveau) ;Entité (dernier niveau) ;Date inventaire ;Date d'installation ;Localisation (complet) ;Entité (complet) 
700490;YV1F29304 ;Ecran ; L20T-2LED ;SIEMENS ;En service ;;ETAGE 1 ;D.C.OPERATIONS ;;;A.T.B/LOC4(STUDIO38)/ETAGE 1 ;DIR/D.C.OPERATIONS 
700495;YE8G206919 ;Ecran ;"19 """;SIEMENS ;En service ;;A.S.EDDEYER ;AG_S.EDDEYER ;;;A.T.B/*SFAX/A.S.EDDEYER ;AG/Z.SFAX/AG_S.EDDEYER 
700496;100464;Scanner Cheque ;LS515USB ;CTS ;En service ;;A.A SAVARY ;AG_A.SAVARY ;;;A.T.B/*T.NORD/A.A SAVARY ;AG/Z.T.NORD/AG_A.SAVARY 
700513;YENA506114 ;Ecran ;"19 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700514;100445;Scanner Cheque ;LS515USB ;CTS ;En service ;;ETAGE 1 ;D.C.OPERATIONS ;;;A.T.B/LOC3(Med V)/ETAGE 1 ;DIR/D.C.OPERATIONS 
700521;YKRG032529 ;Ordinateurs de bureau ;ESPRIMO P3520 ;SIEMENS ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
700542;100413;Scanner Cheque ;LS515USB ;CTS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700550;YE8G206417 ;Ecran ;"19 """;SIEMENS ;En service ;;A.S.EDDEYER ;AG_S.EDDEYER ;;;A.T.B/*SFAX/A.S.EDDEYER ;AG/Z.SFAX/AG_S.EDDEYER 
700558;100446;Scanner Cheque ;LS515USB ;CTS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700560;YV3N055153 ;Ecran ;L20T-2LED ;SIEMENS ;En service ;;A.B KHIAR ;AG_B.KHIAR ;;;A.T.B/*CAP BON/A.B KHIAR ;AG/Z.CAP BON/AG_B.KHIAR 
700561;YKRG032550 ;Ordinateurs de bureau ;ESPRIMO P3520 ;SIEMENS ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
